Index,id,hs,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Aluminium,2606,1947.14,1885.21,1783.65,1797.7,2017.66,2164.44,2857.79,2764.53,2501.89,1725.89,2173.12,2163.49,1836.42,1683.47,1725.62,1701.12,1705.97,2021.81,2071.61,1803.9,1721.38,,,,
2,Antimony,261710,1440,1430,1950,2370,2870,3540,5250,5660,6170,5200,8850,14300,12500,10200,9370,7210,7390,8770,,,,,,,
3,Asbestos,2524,172,202,258,1260,234,561,450,473,746,787,786,931,1570,1510,1820,1880,1910,1870,1670,,,,,,
4,Barytes,2511,46.3,45.4,46.6,45.6,49.4,55,56,71.9,76.3,85.1,86.2,98.6,141,133,130,125,130,100,110,,,,,,
5,Bismuth,8106,8160,8250,6920,6330,7390,8620,11100,31000,28100,17300,19300,25300,22300,19200,24600,14200,9990,10900,,,,,,,
6,Cadmium,8107,362,500,644,1310,1200,3300,2980,7610,5920,2870,3900,2760,2030,1920,1940,1470,1340,1750,2890,,,,,,
7,Chromium,2610,761,854,796,892,1380,1510,1410,2010,3490,2030,2650,2720,2550,2250,2610,2440,2180,2520,2470,,,,,,
8,Coal,2701,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cobalt,810520,29700,23300,17100,20600,43400,33600,30700,54600,68400,34200,39700,36100,30500,27900,30600,29200,25500,48400,,,,,,,
10,Copper,2603,2279.38,2061.05,2060.54,2234.6,3370.6,4194.64,7475.17,7459.13,6764.19,5338.61,7534.78,7953.63,7226.99,6684.11,6342.23,5631.08,5176.76,6339.76,6415.62,6041.68,6236.79,,,,
11,Gold,7108,11276088.35,11377634.89,13168080.65,14679186.49,15473676.42,16307337.85,21606779.52,23473212.4,27254113.02,32429376.45,39374473.52,45454060.27,48719746.89,41369674.93,37600111.78,38133600.7,42704416.72,41544945.59,40093664.98,45005465.81,57496856.71,,,,
12,Graphite,2504,535,447,495,467,469,537,553,636,826,897,797.0436271,1130,1210,1150,1040,1250,1220,1130,,,,,,,
13,Iron,2601,36.19,39.22,38.73,40.13,44.57,74.11,77.1,128.88,151.69,82.91,145.86,151.14,116.63,123.4,89.59,57.08,62.13,73.74,68.53,94.34,110.03,,,,
14,Lead,2607,570.57,621.8,598.13,646.88,1042.67,1113.25,1434.2,2703.55,2033.05,1782.32,2148.45,2162.98,1873.96,1950.68,1936.34,1826.95,1985.09,2378.37,2201.26,2006.98,1843.51,,,,
15,Lithium,283691,4470,1490,1590,1550,1720,1460,2320,3530,4440,4530,4350,3870,4220,4390,4510,4540,4920,4900,,,,,,,
16,Magnesite,251910,406,425,439,512,595,594,602,531,517,582,601,629.1947366,501,515,605,435,431,624,,,,,,,
17,Magnesium,251910,2790,2740,2560,2500,3470,2690,3090,4960,6940,5070,5350,4690,4850,4680,4740,4740,4740,4740,,,,,,,
18,Manganese,2602,582,529,471,599,1090,712,800,1190,2380,1370,1500,1460,1400,1620,1350,1210,,,,,,,,,
19,Mercury,280540,4500,4500,4500,4930,16700,23800,17200,16100,17400,17400,27300,51200,74800,99000,88100,56700,40700,30200,,,,,,,
20,Molybdenum,2613,5630,5190,8280,11800,36700,70100,54600,66800,63000,25800,34800,34300,28100,22900,25800,15100,14400,18100,27000,,,,,,
21,Natural gas,271111,,,,,,,,,,,,,,,,,,,,,,,,,
22,Nickel,2604,10856.94,7763.08,8947.54,12094.59,16257.65,16810.98,26971.47,39012.8,20528.88,15192.11,21808.85,20640.75,15926.95,13703.33,15610.58,12122.3,10203.98,10696.15,12884.75,13986.92,13928,,,,
23,Petroleum,2709,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rare earth,2846,6110,5330,6800,5450,7410,5500,3150,4160,10300,7100,14500,42100,36300,13400,9850,10200,6650,7180,,,,,,,
25,Silver,261610,200167.93,183728.86,195459.79,196911.85,251756.5,267915.01,413276.51,451189.23,468869.81,488075.32,647942.59,1020308.48,908649.66,699029.48,566611.32,516502.6,586268.05,563800.88,496382.44,524151.36,667016.64,,,,
26,Tin,2609,6832.24,5856.13,5365.16,6147.98,10011.91,8414.44,9764.48,15233.03,17999.99,14071.72,20405.62,23472.68,19174.91,20313.5,20235.99,16418.32,19071.64,20613.34,19792.95,18759.07,17299.41,,,,
27,Titanium,2614,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tungsten,2611,8290,12500,9080,8710,11600,29900,37000,35900,35100,25700,27000,46700,56700,46600,45200,37800,25000,35000,,,,,,,
29,Uranium,261210,,,,,,,,,,,,,,,,,,,,,,,,,
30,Zinc,2608,1417.97,1156.7,1028.97,1039.58,1232.27,1574.96,3642.2,3397.64,1823.05,1715.82,2160.74,1976.56,1770.28,1741.43,1996.88,1973.96,2222.58,2970.44,2871.28,2563.79,2289.58,,,,
31,Zirconium,261510,375,375,386,408,502,570,785,763,788,830,860,2650,2650,1050,1050,1030,1030,1030,,,,,,,
